(.*)училисе(.*)	\1училище\2
пирошки(.*)	пирожки\1
афтобус(.*)	автобус\1
тожы	тоже
наверны	наверно
есё	ещё
сверловск(.*)	свердловск\1
раён(.*)	район\1
празник(.*)	праздник\1
фсё	всё
лафка(.*)	лавка\1
юпка(.*)	юбка\1
семъя(.*)	семья\1
сяс	щас
крушка(.*)	кружка\1
конешно	конечно
настояси(.*)	настоящи\1
настояся(.*)	настояща\1
(.*[ую])сий	\1щий
(.*[ую])сяя	\1щая
сосетка(.*)	соседка\1
фсяк(.*)	всяк\1
ижефск(.*)	ижевск\1
свежый(.*)	свежий\1
одӥк	одӥг
кудог(|ез.*|зэ)	куд-ог\1
ышпи(.*)	ыжпи\1
уду	угу
плацехолдэр_наме(.*)	PLACEHOLDER_NAME\1
плацехолдэр_цоммон_ноун(.*)	PLACEHOLDER_COMMON_NOUN\1
плацехолдэр_верб(.*)	PLACEHOLDER_VERB\1
